step,train_loss,val_loss
0,4.195541636975198,4.173810704257815
100,2.5304818634977533,2.5398073431558066
200,2.4106592406010394,2.4245297854734433
300,2.2496497117434924,2.2772351902485974
400,2.112465979795478,2.1436834239699927
500,1.9008638711061616,2.0064583543206744
600,1.8560557592346383,1.9373711155214726
700,1.697683251295433,1.8464206998627541
800,1.6627593367799975,1.8062338813529188
900,1.630168283063158,1.758199213832805
1000,1.5532340310778454,1.7134292595099943
1100,1.4939434083285243,1.6834677305717705
1200,1.3956411401751083,1.6494103263678856
1300,1.4200170699571932,1.6237000431111768
1400,1.4079191997336356,1.6079470199068944
1500,1.4082211629409687,1.591058309472002
1600,1.3635252702040845,1.573505153394465
1700,1.3800787691761294,1.5618088056341541
1800,1.2572602278682625,1.546990500669573
1900,1.2892726575406148,1.5545698596033
2000,1.2947935781048265,1.5421869568147073
2100,1.2430379784202072,1.5381706176136705
2200,1.2905342468931371,1.5199021456264434
2300,1.2470213634151892,1.5433686911240199
2400,1.2227210998240072,1.5162654778672924
2500,1.201160459659193,1.5297683703746512
2600,1.2009457656223779,1.5109457204958014
2700,1.1980646361783682,1.5148833268330917
2800,1.1827947605464142,1.5211177230912587
2900,1.1851589683830066,1.531147938172868
3000,1.159187397644308,1.5084832654183564
3100,1.2194251578060857,1.546991909121367
3200,1.1462678187292754,1.5318394854311268
3300,1.136309959852797,1.5293665129212646
3400,1.094441668114746,1.5337458265536457
3500,1.0559768437343422,1.537158962302905
3600,1.069394298666432,1.52460873903756
3700,1.0483992067490346,1.5481157141762172
3800,1.095657756852912,1.543053779019546
3900,1.0027499650411356,1.566981419966214
4000,1.0181313438097737,1.5536966378054071
4100,1.0225283701253929,1.5779091795833782
4200,1.0180868849109452,1.5616772775918906
4300,1.0296475787744228,1.5734428139182868
4400,1.000408134054152,1.5891326497121772
4500,1.0055269162093476,1.606822224612602
4600,0.9923657683715772,1.5913652808851722
4700,1.004321343904441,1.6068694144202589
4800,0.9773663035751056,1.6015663229150188
4900,0.9687255011256789,1.6022024870817968
